"Логин";"Компьютер";"IP-адрес";"Открыта";"Активность";"Используется";"Приложение";"Уровень доступа";"Тип входа";"Тип лицензии";"Тип сервиса";"Устройство";"ОС"
ALMAZ-ANTEY\gpalihov;17210-KRAF.almaz-antey.org;10.250.15.94;03.12.2020 14:30:50;03.12.2020 14:48:42;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\v.patrushev;16434-KRAF.almaz-antey.org;10.250.17.205;10.12.2020 09:17:23;10.12.2020 09:17:51;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\drpatchenskaya;19389-KRAF.almaz-antey.org;10.250.17.218;10.12.2020 14:05:33;10.12.2020 14:31:14;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\g.perekotina;rua33605nm-comp.almaz-antey.org;10.250.10.159;10.12.2020 13:53:31;10.12.2020 13:57:30;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
almaz-antey\ilyapo;10.250.0.97;10.250.0.97;02.12.2020 15:01:40;02.12.2020 15:41:30;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\l.popov;10.250.16.135;10.250.16.135;10.12.2020 12:29:52;10.12.2020 14:24:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.potapov;16403-KRAF.almaz-antey.org;10.250.10.74;08.12.2020 14:37:38;08.12.2020 16:57:45;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.potapov;16403-KRAF.almaz-antey.org;10.250.10.74;03.12.2020 14:25:36;03.12.2020 16:55:41;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.potapov;16403-KRAF.almaz-antey.org;10.250.10.74;10.12.2020 11:55:20;10.12.2020 14:27:27;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.potapov;16403-KRAF.almaz-antey.org;10.250.10.74;02.12.2020 14:18:36;02.12.2020 14:53:39;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\t.raskina;16454-KRAF.almaz-antey.org;10.250.10.52;10.12.2020 09:14:05;10.12.2020 14:28:33;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\yurure;17876-KRAF.almaz-antey.org;10.250.10.46;09.12.2020 17:47:01;09.12.2020 17:47:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\yurure;17876-KRAF.almaz-antey.org;10.250.10.46;10.12.2020 09:35:14;10.12.2020 14:27:54;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\julyiv;CZC43116NW-COMP.almaz-antey.org;10.250.16.110;10.12.2020 13:20:44;10.12.2020 13:44:55;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\e.savitskaya;17980-KRAF.almaz-antey.org;10.250.14.101;10.12.2020 09:02:24;10.12.2020 14:31:12;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.savickiy;18883-KRAF.almaz-antey.org;10.250.12.84;10.12.2020 10:04:44;10.12.2020 14:27:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\m.sapov;17245-kraf.almaz-antey.org;10.250.10.94;10.12.2020 09:38:31;10.12.2020 09:39:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\m.sapov;17245-kraf.almaz-antey.org;10.250.10.94;02.12.2020 09:52:26;02.12.2020 17:45:43;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.safronova;10.250.13.85;10.250.13.85;03.12.2020 08:11:15;03.12.2020 19:31:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.safronova;10.250.13.85;10.250.13.85;02.12.2020 09:08:59;02.12.2020 18:59:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andrse;CZC43116N1-COMP.almaz-antey.org;10.250.64.35;09.12.2020 10:35:51;09.12.2020 17:51:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\vladse;rua31002py-comp.almaz-antey.org;10.250.17.105;10.12.2020 07:53:25;10.12.2020 13:18:03;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\aasidorov;19419-KRAF.almaz-antey.org;10.250.11.221;07.12.2020 10:42:30;07.12.2020 17:57:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\s.silin;10.250.13.129;10.250.13.129;10.12.2020 07:55:56;10.12.2020 08:51:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\konstsk;10.250.0.24;10.250.0.24;08.12.2020 09:40:04;08.12.2020 09:40:56;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\konstsk;10.250.0.92;10.250.0.92;03.12.2020 11:48:10;03.12.2020 13:02:08;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\konstsk;10.250.0.94;10.250.0.94;03.12.2020 14:55:19;03.12.2020 15:04:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\konstsk;RUA14600FG-COMP.almaz-antey.org;10.250.8.33;10.12.2020 10:05:17;10.12.2020 10:41:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\konstsk;10.250.0.66;10.250.0.66;04.12.2020 10:37:27;04.12.2020 12:57:38;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\konstsk;10.250.0.25;10.250.0.25;07.12.2020 08:40:51;07.12.2020 08:46:01;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\konstsk;10.250.0.50;10.250.0.50;09.12.2020 09:44:48;09.12.2020 10:31:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\konstsk;10.250.0.67;10.250.0.67;03.12.2020 09:57:55;03.12.2020 11:16:46;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\tamaras;RUA13308JC-COMP.almaz-antey.org;10.250.8.27;08.12.2020 10:50:23;08.12.2020 17:40:44;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\tamaras;RUA13308JC-COMP.almaz-antey.org;10.250.8.27;10.12.2020 10:10:22;10.12.2020 14:28:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.skoblikova;16646-KRAF.almaz-antey.org;10.250.10.55;10.12.2020 13:51:52;10.12.2020 14:26:56;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\oaskuratova;19405-KRAF.almaz-antey.org;10.250.16.98;10.12.2020 13:17:00;10.12.2020 14:27:04;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\slavasl;czc42222b4-comp.almaz-antey.org;10.250.64.25;10.12.2020 10:20:16;10.12.2020 10:25:19;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\slavasl;czc42222b4-comp.almaz-antey.org;10.250.64.25;08.12.2020 12:00:13;08.12.2020 16:37:55;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\osluhov;RUA250065B-COMP.almaz-antey.org;10.250.11.119;10.12.2020 11:45:59;10.12.2020 14:31:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\svetlanasm;16902-KRAF.almaz-antey.org;10.250.10.82;10.12.2020 11:15:28;10.12.2020 14:29:19;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\valentinso;czc422229d-comp.almaz-antey.org;10.250.17.64;10.12.2020 10:39:00;10.12.2020 14:30:02;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\eugenso;RUA328056L-COMP.almaz-antey.org;10.250.17.114;10.12.2020 12:01:07;10.12.2020 14:10:00;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\a.spiridonov;10.250.0.35;10.250.0.35;10.12.2020 08:53:14;10.12.2020 10:45:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\alexeyst;18827-KRAF.almaz-antey.org;10.250.64.50;08.12.2020 10:50:37;08.12.2020 16:40:50;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\yurusu;RUA24702BF-COMP.almaz-antey.org;10.250.64.53;08.12.2020 15:52:06;08.12.2020 16:40:50;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.suleymanov;RUA24702D3-COMP.almaz-antey.org;10.250.10.58;10.12.2020 12:32:39;10.12.2020 12:43:51;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\gennadysu;czc422229f-comp.almaz-antey.org;10.250.64.41;10.12.2020 08:45:55;10.12.2020 14:26:17;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\gennadysu;czc422229f-comp.almaz-antey.org;10.250.64.41;08.12.2020 08:45:37;08.12.2020 16:41:32;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\consu;10.250.13.92;10.250.13.92;10.12.2020 10:40:23;10.12.2020 10:59:49;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\lnsisoeva;RUA34506P1-COMP.almaz-antey.org;10.250.11.36;10.12.2020 12:36:40;10.12.2020 12:36:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\natimshina.kirov;192.168.128.142;192.168.128.142;03.12.2020 07:42:54;10.12.2020 07:42:04;нет;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Профессиональная  Service Pack 1
ALMAZ-ANTEY\a.tobolkin;RUA403092J-COMP.almaz-antey.org;10.250.20.38;10.12.2020 09:01:53;10.12.2020 11:44:12;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\mikhailt;RUA34506P8-COMP.almaz-antey.org;10.250.10.61;10.12.2020 09:11:41;10.12.2020 14:27:16;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\annat;10.250.0.66;10.250.0.66;07.12.2020 15:09:49;07.12.2020 15:09:51;да;Tessa Applications;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\m.ukolova;RUA41201XZ-COMP.almaz-antey.org;10.250.20.34;10.12.2020 07:55:29;10.12.2020 14:28:44;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.umnov;RUA14000MG-COMP.almaz-antey.org;10.250.11.203;02.12.2020 14:27:00;03.12.2020 02:57:14;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.umnov;RUA14000MG-COMP.almaz-antey.org;10.250.76.93;08.12.2020 11:40:27;08.12.2020 12:37:38;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.umnov;RUA14000MG-COMP.almaz-antey.org;10.250.76.93;10.12.2020 12:30:14;10.12.2020 14:29:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\svetlanaan;15538-KRAF.almaz-antey.org;10.250.16.101;10.12.2020 08:49:12;10.12.2020 14:28:11;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.fedin;17685-KRAF.almaz-antey.org;10.250.16.62;10.12.2020 08:58:08;10.12.2020 14:29:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\olegf;CZC43215KX-COMP.almaz-antey.org;10.250.14.72;10.12.2020 14:27:07;10.12.2020 14:30:07;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\anatolyf;RUA2120628-COMP.almaz-antey.org;10.250.14.62;26.11.2020 16:05:48;03.12.2020 13:24:11;нет;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.filina;18028-KRAF.almaz-antey.org;10.250.12.38;08.12.2020 16:53:09;08.12.2020 18:03:14;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.filina;18028-KRAF.almaz-antey.org;10.250.12.38;03.12.2020 10:15:39;03.12.2020 18:02:50;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\a.filina;18028-KRAF.almaz-antey.org;10.250.12.38;07.12.2020 09:10:01;07.12.2020 17:55:13;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\sergeyfil;RUA1320022-COMP.almaz-antey.org;10.250.11.67;10.12.2020 12:22:45;10.12.2020 14:31:12;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\e.filyaev;110716-06-KRAF.almaz-antey.org;10.250.20.36;09.12.2020 09:05:23;10.12.2020 12:40:36;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\e.filyaev;110716-06-KRAF.almaz-antey.org;10.250.20.36;10.12.2020 14:18:12;10.12.2020 14:31:16;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\a.frolov;10.250.22.24;10.250.22.24;10.12.2020 09:28:51;10.12.2020 09:53:59;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\ifkhismatov;19415-KRAF.almaz-antey.org;10.250.18.103;10.12.2020 10:43:01;10.12.2020 14:28:05;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\n.hodakova;17713-KRAF.almaz-antey.org;10.250.10.114;10.12.2020 10:03:39;10.12.2020 14:28:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\hrhopt;RUA14600R3-COMP.almaz-antey.org;10.250.16.36;10.12.2020 08:58:37;10.12.2020 14:29:10;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\oksanahr;RUA251113-27.almaz-antey.org;10.250.15.102;10.12.2020 08:02:01;10.12.2020 14:27:23;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\chagn;10.250.0.41;10.250.0.41;09.12.2020 09:15:14;09.12.2020 09:15:15;да;Tessa Applications;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\sergeych;czc43116mm-comp.almaz-antey.org;10.250.14.143;08.12.2020 07:53:12;08.12.2020 12:45:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\sergeych;czc43116mm-comp.almaz-antey.org;10.250.14.143;09.12.2020 07:50:51;09.12.2020 16:55:47;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\sergeych;czc43116mm-comp.almaz-antey.org;10.250.14.143;10.12.2020 08:01:35;10.12.2020 14:30:40;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
ALMAZ-ANTEY\yu.chistyakova;10.250.22.2;10.250.22.2;10.12.2020 09:01:30;10.12.2020 14:26:38;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\elenach;RUA14600PT-COMP.almaz-antey.org;10.250.16.27;10.12.2020 08:40:38;10.12.2020 14:30:57;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\shartilova;17276-KRAF.almaz-antey.org;10.250.10.103;02.12.2020 15:07:24;02.12.2020 16:47:28;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.sheleshev;RUA34506NT-COMP.almaz-antey.org;10.250.9.27;08.12.2020 12:15:07;08.12.2020 18:00:24;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.sheleshev;RUA34506NT-COMP.almaz-antey.org;10.250.9.27;09.12.2020 15:06:22;09.12.2020 17:56:29;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.sheleshev;RUA34506NT-COMP.almaz-antey.org;10.250.9.27;04.12.2020 08:59:21;04.12.2020 16:26:53;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\d.sheleshev;RUA34506NT-COMP.almaz-antey.org;10.250.9.27;10.12.2020 09:27:31;10.12.2020 14:07:52;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\o.shimicheva;16424-KRAF.almaz-antey.org;10.250.75.87;10.12.2020 09:37:02;10.12.2020 14:27:35;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\m.shichanin;18244-ARBYTE.almaz-antey.org;10.250.76.67;07.12.2020 11:29:30;07.12.2020 17:59:34;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
ALMAZ-ANTEY\valentinap;CZC4222299-COMP.almaz-antey.org;10.250.20.35;10.12.2020 09:36:18;10.12.2020 14:27:49;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\andreysh;16607-KRAF.almaz-antey.org;10.250.14.66;10.12.2020 10:12:23;10.12.2020 11:12:56;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
ALMAZ-ANTEY\gulnara;18881-KRAF.almaz-antey.org;10.250.20.41;10.12.2020 08:51:21;10.12.2020 12:59:09;да;Tessa Client;Администратор;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  x64 Service Pack 1
almaz-antey\dscheglov;10.250.0.32;10.250.0.32;07.12.2020 08:57:03;07.12.2020 18:05:26;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\dscheglov;10.250.0.37;10.250.0.37;10.12.2020 08:53:15;10.12.2020 14:26:43;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
almaz-antey\dscheglov;10.250.0.85;10.250.0.85;02.12.2020 10:40:55;02.12.2020 16:03:53;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Домашняя для одного языка x64
ALMAZ-ANTEY\alenayu;CZC43215M1-COMP.almaz-antey.org;10.250.15.82;04.12.2020 09:23:28;04.12.2020 09:39:21;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Microsoft Windows 7 Корпоративная  Service Pack 1
almaz-antey\natalyya;10.250.0.71;10.250.0.71;10.12.2020 09:42:13;10.12.2020 09:42:55;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
almaz-antey\natalyya;10.250.0.74;10.250.0.74;02.12.2020 09:29:11;02.12.2020 16:02:54;да;Tessa Client;Обычный;Пользователь Windows;Конкурентная клиентская;Desktop-клиент;ПК;Майкрософт Windows 10 Pro x64
