"Рег. номер";"Дата рег.";"Проект. номер";"Дата создания";"Состояние";"Куратор";"Структ. подразделение";"ЦФО";"Вид платежа";"Сумма в валюте";"Валюта";"НДС%";"Получатель";"Банк получателя";"Основание для платежа";"Назначение платежа";"Банк отправителя";"ID закупки";"Аванс/Расчет";"Проект ДЭ";"Проект";"№ п/п";"Дата платежа"
25/557/СЗО;20.07.2020;594;15.07.2020;Исполнен;Антипов А. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"133 701,90";RUB;20%;МТС;"ПАО ""МТС-БАНК""";Абонентская плата за предоставление услуг связи согласно договору № 17710440147 от 08.12.2014г. по счету № 57997506/1 от 30.06.2020г.;Оплата услуг суязи за июнь 2020г.согласно договору № 17710440147 от 08.12.2014г. по счету № 57997506/1 от 30.06.2020г.;БАНК ВТБ (ПАО);12771;Расчет;нет проекта;Проекты не выясненные;5649;20.07.2020
25/601/СЗО;24.07.2020;593;15.07.2020;Исполнен;Антипов А. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"27 720,00";RUB;20%;ГАРС ТЕЛЕКОМ - УТ;ПАО СБЕРБАНК;Абоненсткая плата за предоставление канала в сеть общего пользования с выделением IP-адреса согласно договору № SD0190-14 от 27.02.2014г. по счету № 24295 от 30.06.2020г.;"Абоненсткая плата ООО ""Гарс-Телеком - УТ"" за предоставление канала в сеть общего пользования согласно договору № SD0190-14 от 27.02.2014г. по счету № 24295 от 30.06.2020г.";БАНК ВТБ (ПАО);12770;Расчет;нет проекта;Проекты не выясненные;5897;27.07.2020
22/547/СЗО;17.07.2020;592;15.07.2020;Исполнен;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"17 726,31";RUB;Без НДС;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 14А-А/197 от 24.05.2019г согласно счета № 80/2 от 25.06.2020г";Оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 14А-А/197 от 24.05.2019г согласно счета № 80/2 от 25.06.2020г;БАНК ВТБ (ПАО);12733;Расчет;нет проекта;Проекты не выясненные;5618;17.07.2020
22/549/СЗО;17.07.2020;591;15.07.2020;Исполнен;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"164 771,91";RUB;Без НДС;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 11А-А/192 от 12.03.2019г согласно счета № 98/1 от 25.06.2020г";Оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 11А-А/192 от 12.03.2019г согласно счета № 98/1 от 25.06.2020г;БАНК ВТБ (ПАО);12730;Расчет;нет проекта;Проекты не выясненные;5627;17.07.2020
18/693/СЗО;03.08.2020;590;15.07.2020;Исполнен;Сотников М. А. (ДРБ);Департамент режима и безопасности;18;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"276 403,20";RUB;Без НДС;"МЕЖРАЙОННЫЙ ОТДЕЛ ВНЕВЕДОМСТВЕННОЙ ОХРАНЫ ПО ЗАПАДНОМУ АДМИНИСТРАТИВНОМУ ОКРУГУ - ФИЛИАЛ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ВНЕВЕДОМСТВЕННОЙ ОХРАНЫ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИИ РОССИЙСКОЙ ФЕДЕРАЦИИ ПО ГОРОДУ МОСКВЕ""";ГУ БАНКА РОССИИ ПО ЦФО;"за услуги вневедомственной охраны по договору 1/166 от 30.12.2019 г. за июль 2020 г., л/с 04731D19270";"счет № 4194 от 13.07.2020 г., договор № 1/166 от 30.12.2019 г., за услуги вневедомственной охраны за июль 2020 г.";БАНК ВТБ (ПАО);10686;Расчет;нет проекта;Проекты не выясненные;6107;03.08.2020
22/548/СЗО;17.07.2020;589;15.07.2020;Исполнен;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"7 168,86";RUB;Без НДС;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 11А-А/110 от 31.07.2015г согласно счета № 105/4 от 25.06.2020г";Оплата за возмещение коммунальных и эксплуатационных затрат за май 2020г по договору № 11А-А/110 от 31.07.2015г согласно счета № 105/4 от 25.06.2020г;БАНК ВТБ (ПАО);12731;Расчет;нет проекта;Проекты не выясненные;5619;17.07.2020
001/535/СЗО;16.07.2020;588;15.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"97 902,00";RUB;Без НДС;ИП Облезин Дмитрий Николаевич ;ФИЛИАЛ № 6318 БАНКА ВТБ (ПАО);"ИП Облезину Дмитрию Николаевичу оплата по счету № 96 от 10.07.2020 за детские иллюстрированные журналы ""Алмазка и Антейка - дружная семейка""";"Ооплата по счету № 96 от 10.07.2020 за детские иллюстрированные журналы ""Алмазка и Антейка - дружная семейка""";БАНК ВТБ (ПАО);12765;Аванс;Армия - 2020;Проекты не выясненные;5608;17.07.2020
15/541/СЗО;16.07.2020;587;15.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"3 354 431,26";RUB;20%;ТИРА;"АО ""АБ ""РОССИЯ""";"аванс 30%  по этапам 1,2 (разработка проекта, выполнение РВР) договора № 15/475 от 11.06.2020 согласно счета № 32 от 15.06.2020";"аванс 30%  по этапам 1,2 (разработка проекта, выполнение РВР) договора № 15/475 от 11.06.2020 согласно счета № 32 от 15.06.2020";БАНК ВТБ (ПАО);10242;Аванс;Проекта нет ;О/ОРВД;5585;16.07.2020
03/542/СЗО;16.07.2020;586;15.07.2020;Исполнен;Кононов А. А. (Казначейство);Казначейство;15;Платежи по ВТС;"6 514,33";USD;Без НДС;РОСОБОРОНЭКСПОРТ;ВЭБ.РФ;"Прошу перечислить денежные средства в сумме 6 514,33 долларов США АО «Рособоронэкспорт» в качестве возмещения банковских расходов (инозаказчик «012») по договору комиссии № Р/1201202131986-1215048 от 29.04.2013 в рублях по курсу ЦБ РФ на дату платежа.";"Возмещение банковских расходов (инозаказчик «012») в соответствии с договором комиссии № Р/1201202131986-1215048 от 29.04.2013 (отчет-счёт № 499 от 29.06.2020), без НДС.";БАНК ВТБ (ПАО);не является закупкой;Расчет;нет;Р/012/ЗУР;5592;16.07.2020
03/565/СЗО;22.07.2020;585;15.07.2020;Исполнен;Щеглов Д. С. (Казначейство);Казначейство;15;"Платежи по пополнению расчётного счёта (перевод с одного расчётного счёта на другой), продаже валюты (конвертация)";"75 110 550,39";RUB;Без НДС;КОНЦЕРН ВКО АЛМАЗ - АНТЕЙ;ПАО СБЕРБАНК;Возврат ранее перечисленных денежных средств ;Возврат ранее перечисленных денежных средств ;БАНК ВТБ (ПАО);;Расчет;;Внутренние перемещения;5675;22.07.2020
15/545/СЗО;17.07.2020;584;15.07.2020;Исполнен;Кузнецов Д. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"2 837 338,72";RUB;20%;НПО АЛМАЗ;БАНК ГПБ (АО);"Аванс в размере 30% на разработку документации для размещения оборудования по объекту: ""Оснащение аэродромной многопозиционной системой наблюдения (АМПСН) ВПП-3 аэродрома ""Шереметьево"" Счет на оплату №1922 от 30.06.2020";Аванс в размере 30% за разработку документации по договору №5/20-1087 от 08.06.2020. Счет на оплату №1922 от 30.06.2020.;БАНК ВТБ (ПАО);11479;Аванс;Проекта нет;О/ОРВД;5616;17.07.2020
15/540/СЗО;16.07.2020;583;15.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"17 667 396,87";RUB;20%;ТИРА;"АО ""АБ ""РОССИЯ""";"аванс 50%  по этапу 3 (поставка, МиПНР, инструктаж, ПСИ) договора № 15/475 от 11.06.2020 согласно счета № 33 от 15.06.2020";"аванс 50%  по этапу 3 (поставка, МиПНР, инструктаж, ПСИ) договора № 15/475 от 11.06.2020 согласно счета № 33 от 15.06.2020";БАНК ВТБ (ПАО);10242;Аванс;Проекта нет;О/ОРВД;5586;16.07.2020
02/604/СЗО;24.07.2020;582;15.07.2020;Исполнен;Хананов А. Р. (ДЗП ПВН);Департамент заказов и поставок продукции военного назначения;02;"Платежи по ГОЗ, НИОКР по гражданской тематике";"5 000 000,00";RUB;20%;ЖМЗ;"ПАО ""ПРОМСВЯЗЬБАНК""";Договор поставки от 26.06.2020 № 2022187308521412208203446/02/602 в рамках государственного контракта от 20.05.2020№ 2022187308521412208203446;аванс за изготовление и поставку товара по договору поставки от 26.06.2020 № 2022187308521412208203446/02/602  по счету № 1054 от 13.07.2020;"ПАО ""ПРОМСВЯЗЬБАНК""";-;Аванс;нет проекта;М/_3446/400_30-32компл;641;27.07.2020
25/536/СЗО;16.07.2020;581;15.07.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"650,00";RUB;20%;МТС;"ПАО ""МТС-БАНК""";ПАО «Мобильные ТелеСистемы» за услуги сотовой радиотелефонной связи для корпоративного номера 915-161-09-30 на основании служебной записки от 14.07.2020 г.  № 22-411/сз;Аванс за услуги сотовой радиотелефонной связи ЛС абонента (УИП) 277746298561 по договору № 206080 от 23.12.2000;БАНК ВТБ (ПАО);;Аванс;нет проекта;Проекты не выясненные;5609;17.07.2020
03/538/СЗО;16.07.2020;580;15.07.2020;Исполнен;Кононов А. А. (Казначейство);Казначейство;15;Платежи по ВТС;"231 720,95";USD;Без НДС;РОСОБОРОНЭКСПОРТ;ВЭБ.РФ;"Прошу перечислить денежные средства в сумме 231720,95 долларов США АО «Рособоронэкспорт» в качестве возмещения банковских расходов (инозаказчик «012») по договору комиссии № Р/1201202131986-1215048 от 29.04.2013 в рублях по курсу ЦБ РФ на дату платежа.";"Возмещение банковских расходов (инозаказчик «012») в соответствии с договором комиссии № Р/1201202131986-1215048 от 29.04.2013 (отчет-счёт № 498 от 29.06.2020), без НДС.";БАНК ВТБ (ПАО);не является закупкой;Расчет;нет;Р/012/Б;5594;16.07.2020
03/539/СЗО;16.07.2020;579;15.07.2020;Исполнен;Кононов А. А. (Казначейство);Казначейство;15;Платежи по ВТС;"12 191,68";USD;Без НДС;РОСОБОРОНЭКСПОРТ;БАНК ВТБ (ПАО);"Прошу перечислить денежные средства в сумме 12191,68 долларов США АО «Рособоронэкспорт» в качестве возмещения банковских расходов (инозаказчик «012») по договору комиссии № Р/1301202241514-1313762 от 01.11.2013 в рублях по курсу ЦБ РФ на дату платежа.";"Возмещение банковских расходов (инозаказчик «012») в соответствии с договором комиссии № Р/1301202241514-1313762 от 01.11.2013 (отчет-счёт № 502 от 29.06.2020), без НДС.";БАНК ВТБ (ПАО);не является закупкой;Расчет;нет;Р/012/СОЦ;5593;16.07.2020
25/526/СЗО;16.07.2020;578;14.07.2020;Исполнен;Гордиенко В. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"13 869,00";RUB;20%;"АО ""Единая электронная торговая площадка""";БАНК ВТБ (ПАО);Оплата электронной подписи по счету № ДД014511 от 14.07.2020г. ;"Оплата электронной подписи по счету № ДД014511 от 14.07.2020г.  для АО ""Концерн ВКО ""Алмаз-Антей""";БАНК ВТБ (ПАО);12759;Расчет;нет проекта;Проекты не выясненные;5566;16.07.2020
25/525/СЗО;16.07.2020;577;14.07.2020;Исполнен;Кутейников С. П. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"3 487,64";RUB;20%;МЕГАФОН;ПАО СБЕРБАНК;ПАО «Мегафон» за услуги сотовой радиотелефонной связи по договору от 15.07.2015 № ФД-ГО-187/2015 за июнь 2020 года;"Оплата услуг сотовой радиотелефонной связи за июнь 2020г. по договору от 15.07.2015   № ФД-ГО-187/2015, счет № 65-1 от 30.06.2020г";БАНК ВТБ (ПАО);-;Расчет;нет проекта;Проекты не выясненные;5565;16.07.2020
001/531/СЗО;16.07.2020;576;14.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"494 796,00";RUB;20%;ПРОВАЙН;РНКБ БАНК (ПАО);"ООО ""Провайн"" оплата по счету № 63 от 14.07.2020 за сувенирные наборы с символикой концерна";Оплата по счету № 63 от 14.07.2020 за сувенирные наборы с символикой концерна;БАНК ВТБ (ПАО);12756;Аванс;нет проекта;Проекты не выясненные;5570;16.07.2020
001/530/СЗО;16.07.2020;575;14.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"108 000,00";RUB;20%;КОНДИТЕРСКИЙ ХОЛДИНГ КОРОЛЕВСКИЙ;ПАО СБЕРБАНК;"ООО ""Кондитерский холдинг ""Королевский"" оплата по счету № 20ХК-000163 от 13.07.2020 за сувенирные подушки с символикой концерна";Оплата по счету № 20ХК-000163 от 13.07.2020 за сувенирные подушки с символикой концерна;БАНК ВТБ (ПАО);12753;Аванс;нет проекта;Проекты не выясненные;5571;16.07.2020
15/532/СЗО;16.07.2020;574;14.07.2020;Исполнен;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"149 528,90";RUB;20%;РАДИОФИЗИКА;"ПАО ""ПРОМСВЯЗЬБАНК""";Оплата за услуги связи по договору № Ф8/49-8000-20/2 от 27.12.2019 за июнь 2020г. согласно счета № 413 от 30.06.2020г.;Оплата за услуги связи по договору № Ф8/49-8000-20/2 от 27.12.2019 за июнь 2020г. согласно счета № 413 от 30.06.2020г.;БАНК ВТБ (ПАО);9163;Расчет;Проекта нет;Проекты не выясненные;5569;16.07.2020
15/533/СЗО;16.07.2020;573;14.07.2020;Исполнен;Зоркина В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"379 438,94";RUB;20%;РАДИОФИЗИКА;"ПАО ""ПРОМСВЯЗЬБАНК""";Оплата за услуги связи по договору № Ф8/49-8000-20 от 27.12.2019 за июнь 2020г. согласно счета № 411 от 30.06.2020г.;Оплата за услуги связи по договору № Ф8/49-8000-20 от 27.12.2019 за июнь 2020г. согласно счета № 411 от 30.06.2020г.;БАНК ВТБ (ПАО);9034;Расчет;Проекта нет;Проекты не выясненные;5568;16.07.2020
001/534/СЗО;16.07.2020;572;14.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"499 920,00";RUB;Без НДС;"""ПК ""СПАРК-М""";ПАО СБЕРБАНК;"ООО ""ПК ""СПАРК-М"" оплата по счету № 14 от 07.07.2020 за рюкзаки с символикой концерна и USB флешки с символикой концерна";Оплата по счету № 14 от 07.07.2020 за рюкзаки с символикой концерна и USB флешки с символикой концерна;БАНК ВТБ (ПАО);12747;Аванс;нет проекта;Проекты не выясненные;5567;16.07.2020
15/555/СЗО;20.07.2020;571;14.07.2020;Исполнен;Вахтин В. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"21 960 016,49";RUB;20%;ВЛАДИМИРСКИЙ ЗАВОД ЭЛЕКТРОПРИБОР;ФИЛИАЛ БАНКА ВТБ (ПАО) В Г. ВОРОНЕЖЕ;Авансовый платеж по договору от 30.06.2020 № 1/ГРА/019/98-20.;"Авансовый платеж по договору от 30.06.2020 № 1/ГРА/019/98-20, по счету от 02.07.2020 № 1019.";БАНК ВТБ (ПАО);11564;Аванс;Проекта нет;О/ОРВД;5645;20.07.2020
001/527/СЗО;16.07.2020;570;14.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"499 100,00";RUB;Без НДС;ИП Туев Владислав Борисович;"УРАЛЬСКИЙ ФИЛИАЛ АО ""РАЙФФАЙЗЕНБАНК""";ИП Туеву Владиславу Борисовичу оплата по счету № 38 от 13.07.2020 за подзорные трубы с символикой концерна;Оплата по счету № 38 от 13.07.2020 за подзорные трубы с символикой концерна;ВЭБ.РФ;12751;Аванс;нет проекта;Проекты не выясненные;594;16.07.2020
001/511/СЗО;14.07.2020;569;13.07.2020;Исполнен;Щербак А. А. (АГД);Аппарат генерального директора;001;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"400 000,00";RUB;Без НДС;БЮРО ПОДАРКОВ;"ПАО ""ПОЧТА БАНК""";"ООО ""БЮРО ПОДАРКОВ"" оплата по счету № БП200713/01 от 13.07.2020 за накидки в подарочной упаковке с символикой концерна ";"Оплата по счету № БП200713/01 от 13.07.2020 за накидки в подарочной упаковке с символикой концерна, без НДС";БАНК ВТБ (ПАО);12743;Аванс;нет проекта;Проекты не выясненные;5474;14.07.2020
;;568;13.07.2020;На доработке от казначейства;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"95 699,00";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата аренды помещений по договору № 11А-А/110 от 31.07.2015г согласно счета № 175 от 02.07.2020г";Оплата аренды помещений по договору № 11А-А/110 от 31.07.2015г согласно счета № 175 от 02.07.2020г;БАНК ВТБ (ПАО);12681;Аванс;нет проекта;;;
22/516/СЗО;15.07.2020;567;13.07.2020;Исполнен;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"19 644,78";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата аренды земельного участка по договору № Н-АЗ62/9 от 01.07.2016г согласно счета № 203 от 02.07.2020г";Оплата аренды земельного участка по договору № Н-АЗ62/9 от 01.07.2016г согласно счета № 203 от 02.07.2020г;БАНК ВТБ (ПАО);6471;Аванс;нет проекта;Проекты не выясненные;5497;15.07.2020
;;566;13.07.2020;На доработке от казначейства;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"248 416,67";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата аренды помещений по договору № 20Н-А/154 от 01.07.2019г согласно счета № 194 от 02.07.2020г";Оплата аренды помещений по договору № 20Н-А/154 от 01.07.2019г согласно счета № 194 от 02.07.2020г;БАНК ВТБ (ПАО);12682;Аванс;нет проекта;;;
25/597/СЗО;23.07.2020;565;13.07.2020;Исполнен;Антипов А. И. (ДИТС);Департамент информационных технологий и связи;25;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"349 183,20";RUB;20%;КОМКОР;"ООО ""ЭКСПОБАНК""";Оплата услуг связи согласно догову № Д-08-286 от 04.02.2008г. по счету № 63173-11/06.20-8003 от 30.06.2020г.;"Оплата услуг связи от ОАО ""КОМКОР"" согласно догову № Д-08-286 от 04.02.2008г.  по счету № 63173-11/06.20-8003 от 30.06.2020г.";БАНК ВТБ (ПАО);-;Расчет;нет проекта;Проекты не выясненные;5884;27.07.2020
;;564;13.07.2020;На доработке от казначейства;Утин Ю. Н. (ДОД);Департамент обеспечения деятельности;ДОД;"Платежи по хозяйственным и прочим договорам, за исключением оплаты штрафов, пени, пошлин";"187 928,42";RUB;20%;НПО АЛМАЗ;ПАО СБЕРБАНК;"ПАО ""НПО ""Алмаз"" оплата аренды помещений по договору № 14А-А/197 от 24.05.2019г согласно счета № 177 от 02.07.2020г";Оплата аренды помещений по договору № 14А-А/197 от 24.05.2019г согласно счета № 177 от 02.07.2020г;;9594;Аванс;нет проекта;;;
15/529/СЗО;16.07.2020;563;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"10 206 175,37";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";окончательный расчет по этапу 9.1 (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 453 от 03.06.2020;окончательный расчет по этапу 9.1  (поставка оборудования) договора № 15/406 от 09.08.2019 согласно счета № 453 от 03.06.2020;БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5572;16.07.2020
15/522/СЗО;15.07.2020;562;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"530 403,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 3.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 445 от 03.06.2020";"окончательный расчет по этапу 3.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 445 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5559;16.07.2020
15/520/СЗО;15.07.2020;561;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"543 416,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 4.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 447 от 03.06.2020";"окончательный расчет по этапу 4.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 447 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5564;16.07.2020
15/521/СЗО;15.07.2020;560;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 472 976,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 5.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 449 от 03.06.2020";"окончательный расчет по этапу 5.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 449 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5563;16.07.2020
15/524/СЗО;15.07.2020;559;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 266 891,50";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 6.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 452 от 03.06.2020";"окончательный расчет по этапу 6.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 452 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5557;16.07.2020
15/523/СЗО;15.07.2020;558;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"736 488,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 11.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 456 от 03.06.2020";"окончательный расчет по этапу 11.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 456 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5558;16.07.2020
15/510/СЗО;14.07.2020;557;13.07.2020;Исполнен;Трачук П. В. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"1 446 777,00";RUB;20%;РИМР;"ПАО ""БАНК ""САНКТ-ПЕТЕРБУРГ""";"окончательный расчет по этапу 14.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 462 от 03.06.2020";"окончательный расчет по этапу 14.2 (проведение МиПНР, инструктаж , участие в ПСИ-О) договора № 15/406 от 09.08.2019 согласно счета № 462 от 03.06.2020";БАНК ВТБ (ПАО);7067;Расчет;Проекта нет;О/ОРВД;5467;14.07.2020
15/507/СЗО;14.07.2020;556;13.07.2020;Исполнен;Амфилохиева Ю. Н. (ДСС ОрВД и ГЛОНАСС);Департамент систем и средств ОрВД и ГЛОНАСС;15;"Платежи по гражданской тематике, ОрВД и ГЛОНАСС(кроме НИОКР)";"46 435 224,25";RUB;20%;ЧРЗ ПОЛЕТ;"АО АКБ ""НОВИКОМБАНК""";Выполнение работ по  Договору №473/18-П от 29.11.2020 (Счет №93 от 13.05.2020);Расчет по договору №473/18-П от 29.11.2020 по счету №93 от 13.05.2020;БАНК ВТБ (ПАО);4921;Расчет;Проекта нет;О/ОРВД;5471;14.07.2020
